Função;Vagas;CR;Carga horária;Remuneração;Requisitos mínimos
Enfermeiro(a);1;Sim;40h;R$ 2.223,49;Ensino Superior em Enfermagem e registro no COREN
Técnico(a) de Enfermagem;1;Sim;40h;R$ 1.621,00;Curso Técnico em Enfermagem e registro no COREN
Dentista da Atenção Básica;1;Sim;20h;R$ 2.756,97;Ensino Superior em Odontologia e registro no CRO
Psicólogo(a);5;Sim;20h;R$ 2.556,73;Ensino Superior em Psicologia e registro no CRP
Fonoaudiólogo(a);1;Sim;25h;R$ 2.556,73;Ensino Superior em Fonoaudiologia e registro no respectivo Conselho
Nutricionista;1;Sim;30h;R$ 2.556,73;Ensino Superior em Nutrição e registro no CRN
Farmacêutico(a);1;Sim;40h;R$ 2.223,49;Ensino Superior em Farmácia e registro no CRF
Assistente Social;5;Sim;30h;R$ 1.822,43;Ensino Superior em Serviço Social e registro no CRESS
Terapeuta Ocupacional;1;Sim;20h;R$ 2.079,40;Ensino Superior em Terapia Ocupacional e registro no respectivo Conselho
Agente de Combate às Endemias;1;Sim;40h;R$ 3.242,00;Ensino Médio completo
Recepcionis;8;Sim;40h;R$ 1.621,00;Ensino Médio completo
ta;;;;;
Serviços Gerais – Higiene e Limpeza;4;Sim;40h;R$ 1.621,00;Ensino Fundamental completo
Psicólogo(a) Escolar;1;Sim;20h;R$ 2.556,73;Ensino Superior em Psicologia e registro no CRP
Merendeira;9;Sim;40h;R$ 1.621,00;Ensino Fundamental completo
Cuidador(a) de Aluno com Deficiência / Profissional de Apoio Escolar;20;Sim;40h;R$ 1.621,00;Ensino Médio completo
Motorista Transporte Coletivo;1;Sim;40h;R$ 1.621,00;Ensino Fundamental completo e CNH categoria “D” ou superior
